article_id,grant_id
2300,2314
2300,2318
2878,2892
2878,2896
2878,2900
3548,3562
3960,3974
3960,3978
4110,4124
4110,4128
4364,4378
4454,4468
4454,4472
4454,4476
4454,4480
4454,4484
4454,4488
4454,4492
4588,4602
4670,4684
4670,4688
4888,4902
5156,5170
5156,5174
5156,5178
5156,5182
5272,5286
5392,5406
5532,5546
5532,5550
5752,5766
5752,5770
5752,5774
5880,5894
6006,6020
6172,6186
6172,6190
6172,6194
6256,6270
6378,6392
6524,6538
6524,6542
6524,6546
6608,6622
6724,6738
6724,6742
6724,6746
6724,6750
6724,6754
6724,6758
6886,6900
7144,7158
7210,7224
7352,7366
7352,7370
7472,7486
7602,7616
7602,7620
7602,7624
7602,7628
7602,7632
7836,7850
7932,7946
8064,8078
8232,8246
8388,8402
8388,8406
8528,8542
8860,8874
8944,8958
8944,8962
8944,8966
8944,8970
8944,8974
9136,9150
9136,9154
9350,9364
9530,9544
9662,9676
10422,10436
10568,10582
10666,10680
10742,10756
10742,10760
11308,11322
11308,11326
11586,11600
11586,11604
12094,12108
12094,12112
12094,12116
12094,12120
12094,12124
12094,12128
12876,12890
14492,14506
16250,16264
16250,16268
16250,16272
16250,16276
16250,16280
17882,17896
17974,17988
17974,17992
21432,21446
21658,21672
22772,22786
23248,23262
23854,23868
23854,23872
23854,23876
23854,23880
27522,27536
27924,27938
31480,31494
31480,31498
31480,31502
33062,33076
35188,35202
35188,35206
37898,37912
38906,38920
38906,38924
38906,38928
39106,39120
39106,39124
39106,39128
39106,39132
39106,39136
39106,39140
39106,39144
39106,39148
39106,39152
39830,39844
39830,39848
40020,40034
40198,40212
40286,40300
40286,40304
40286,40308
40286,40312
40528,40542
40528,40546
40528,40550
42318,42332
42412,42426
42810,42824
42810,42828
44610,44624
44996,45010
46498,46512
46688,46702
46688,46706
46688,46710
46820,46834
47002,47016
48460,48474
48460,48478
48460,48482
48460,48486
48546,48560
48946,48960
48946,48964
48946,48968
48946,48972
48946,48976
48946,48980
48946,48984
49046,49060
49046,49064
49166,49180
49166,49184
49166,49188
49166,49192
49166,49196
49392,49406
49392,49410
49392,49414
49392,49418
49392,49422
49534,49548
49534,49552
49534,49556
49678,49692
49678,49696
49678,49700
49678,49704
49678,49708
49678,49712
49678,49716
49802,49816
49802,49820
49802,49824
49802,49828
49802,49832
49802,49836
49898,49912
49898,49916
50046,50060
50046,50064
50046,50068
50046,50072
50164,50178
50164,50182
50164,50186
50164,50190
50164,50194
50368,50382
50368,50386
50368,50390
51334,51348
51334,51352
51334,51356
51334,51360
51334,51364
51334,51368
51334,51372
51532,51546
51532,51550
51532,51554
51532,51558
51700,51714
51700,51718
51700,51722
51700,51726
51700,51730
51850,51864
51850,51868
51850,51872
51850,51876
51850,51880
51850,51884
51850,51888
51850,51892
51850,51896
51850,51900
52206,52220
52206,52224
52206,52228
52206,52232
52206,52236
52206,52240
52206,52244
52206,52248
52556,52570
52556,52574
52556,52578
52556,52582
52556,52586
52556,52590
52556,52594
52556,52598
54186,54200
54252,54266
63352,63366
66466,66480
67048,67062
71258,71272
71258,71276
72378,72392
72660,72674
72860,72874
73852,73866
74122,74136
74214,74228
74214,74232
74674,74688
74674,74692
74674,74696
75470,75484
75686,75700
75686,75704
76034,76048
76034,76052
76034,76056
76034,76060
76034,76064
77424,77438
77424,77442
77424,77446
77424,77450
77424,77454
78046,78060
78046,78064
78046,78068
78046,78072
78046,78076
78046,78080
78046,78084
79366,79380
79420,79434
79420,79438
79806,79820
79962,79976
80030,80044
80268,80282
80454,80468
80454,80472
80454,80476
80454,80480
80454,80484
80850,80864
80850,80868
84010,84024
84010,84028
84010,84032
84900,84914
85306,85320
86258,86272
98834,98848
98834,98852
98834,98856
98994,99008
98994,99012
98994,99016
98994,99020
98994,99024
98994,99028
99440,99454
99440,99458
99440,99462
103196,103210
105744,105758
105744,105762
105744,105766
105744,105770
105744,105774
105744,105778
105744,105782
105744,105786
105744,105790
108826,108840
109538,109552
110328,110342
110328,110346
113739,113753
114029,114043
114385,114399
114385,114403
114547,114561
114677,114691
115103,115117
115193,115207
115453,115467
115673,115687
115803,115817
116361,116375
116853,116867
116943,116957
116943,116961
117065,117079
117065,117083
117065,117087
117243,117257
117243,117261
117493,117507
117493,117511
117611,117625
117611,117629
118123,118137
118451,118465
118451,118469
118535,118549
118535,118553
118685,118699
118917,118931
119489,119503
120253,120267
120253,120271
120253,120275
120405,120419
122081,122095
126527,126541
128005,128019
136811,136825
136811,136829
136811,136833
136811,136837
136811,136841
136811,136845
137427,137441
137427,137445
137427,137449
137427,137453
137427,137457
137427,137461
137427,137465
138643,138657
139577,139591
139577,139595
141029,141043
141029,141047
142615,142629
143413,143427
143413,143431
145073,145087
145349,145363
150941,150955
151471,151485
151471,151489
151721,151735
152219,152233
152219,152237
152219,152241
152219,152245
152219,152249
152219,152253
152219,152257
152219,152261
152219,152265
152219,152269
152219,152273
152219,152277
152219,152281
152219,152285
152219,152289
152219,152293
152219,152297
152219,152301
152219,152305
153063,153077
153167,153181
153167,153185
153167,153189
153167,153193
153167,153197
156079,156093
156079,156097
157755,157769
157967,157981
157967,157985
157967,157989
157967,157993
157967,157997
157967,158001
157967,158005
158203,158217
158203,158221
158203,158225
158203,158229
158613,158627
158613,158631
158859,158873
159215,159229
159215,159233
159393,159407
159393,159411
159461,159475
159461,159479
161229,161243
161297,161311
161407,161421
161407,161425
161845,161859
161845,161863
162079,162093
162701,162715
169275,169289
170325,170339
170595,170609
170697,170711
170697,170715
170697,170719
170697,170723
171163,171177
171163,171181
171163,171185
171163,171189
186261,186275
189665,189679
190733,190747
192029,192043
192029,192047
202963,202977
207253,207267
207351,207365
207549,207563
207549,207567
207997,208011
207997,208015
207997,208019
210573,210587
210573,210591
210573,210595
211609,211623
211609,211627
213445,213459
213445,213463
213619,213633
213721,213735
213863,213877
213863,213881
