grant_id,grant_val
2314,F32 AR063596
2318,R01 AR049823
2892,P01 HL131478
2896,P01 HL131481
2900,R35 HL135799
3562,PI16/01730
3974,CEITEC 2020 (LQ1601)
3978,(No. CZ.02.1.01/0.0/0.0/16_025/0007314)
4124,MOST108-2311-B-007-005
4128,MOST105-2311-B-007-007-MY3
4198,2017YFD0500305
4202,2019CFB459
4378,51575544
4468,ESF/14-BM-A55-0024/18
4472,889003
4476,T319/29737/2017
4480,DA1296/6-1
4484,1
4488,F/01/12
4492,VIP+ 00240
4602,61874025 and 61571126
4684,01 KI 0720
4688,01 KI 0720
4902,FR56897899
5170,2016M602736
5174,300102269107
5178,51878056
5182,2019SF-256
5286,NA
5406,N/A
5546,NRF 2016R1D 1A 1B 01009186
5550,NRF-2015M3C7A1028392
5766,CTQ2016-80886-R
5770,GV IT999-16
5774,CA 15107
5894,18-73-10224
6020,Project No 2019-072-IRMC.
6186,KJ2019A0709
6190,2016zy126
6194,gxgwfx2019056
6270,2013/11/B/NZ9/00708
6392,"2013, no. 764"
6538,SAF2017-89288-R from MINECO/AEI/FEDER/UE
6542,SBPLY/19/180501/000067
6546,AC19/00075
6622,W.LIV.3047
6738,"61701440, 11704248,"
6742,51839010
6746,MSV202001
6750,"SKL-YSL201812, SKL-YSJ201903"
6754,6142109KF201901
6758,2017-2019
6900,HI-698/10-1 and RU-1652/1-1
7158,1I01BX000361
7224,NV19-05-00220
7366,51576102
7370,ZR201808140122
7486,IIS-1902617
7616,41525014
7620,41721003
7624,2018YFC1503600
7628,2018AAA066
7632,201907
7850,18ZDA293
7946,4000119662/17/NL/CBi
8078,6291
8246,21777132
8402,18-10897S
8406,UNCE/SCI/010
8542,66/2018
8874,CNHS901
8958,NHRI-EX101-9935EI
8962,KMUH-107-7R54
8966,"KMU-TC108A02-1, and KMU-DK105009"
8970,kmtth-107-042
8974,MOST 106-2314-B-037 -050 -MY3 and 108-2314-B-037 -059 -MY3
9150,MOHW 104-CDC-C-114-114901-H105011
9154,NHRI-106A1-MRCO-1517172
9364,RSP-2019/144
9544,03Z22DN11
9676,185PFE/2018
10436,The authors are grateful to the both Department of Chemistry in University of Mugla (Turkey) and University of Constantine 1 (Algeria) and University of Dicle (Turkey) for providing funds to perform the present research.
10582,2020R1A2C4002166
10680,14-MAT162-10
10756,CHE-1112547
10760,DE-AC02-05CH11231
10980,2019-07135
11322,1160584
11326,13CTI21520-SP04
11600,"PTDC/QEQ-PRS/4157/2014, UID/BIO/04565/2020"
11604,205201/2014-8
12108,Chinese Academy of Engineering emergency research and cultivation project for COVID-19
12112,National Key Research and Development Program of China
12116,National Key Research and Development Program of China
12120,CAMS Innovation Fund for Medical Sciences
12124,National Natural Science Foundation of China
12128,National Natural Science Foundation of China
12890,Hochschuljubiläumsstiftung der Stadt Wien
14506,P01 AI034533
16264,HHSN272201000005I
16268,R01 AI115691
16272,S10 RR029205
16276,R01 AI123434
16280,P41 GM103403
17896,R01 DA003371
17988,R01 DA034072
17992,UL1 TR001412
21446,001
21672,MR/S013768/1
22786,I01 HX001467
23262,WT104830MA
23868,R00 DA033371
23872,R01 AI139473
23876,P20 GM103430
23880,P30 GM110759
27536,R01 GM056328
27938,EPA999999
31390,P01 ES022848
31394,T32 HD007333
31398,T32 ES007326
31494,R21 AG057947
31498,P50 AT006268
31502,P30 AG034464
